timestamp,open,high,low,close,volume
2019-12-27,239.8100,240.3100,238.1900,239.3000,498753
2019-12-26,238.7600,239.8600,238.1600,239.0600,266321
2019-12-24,237.3500,238.5000,236.0900,238.1800,159216
2019-12-23,239.1900,240.2180,236.5700,237.0600,947142
2019-12-20,238.9900,239.6700,237.6100,238.1400,1187164
2019-12-19,235.5800,240.0600,235.5800,238.2000,900533
2019-12-18,236.6700,236.8933,235.5200,236.4800,973526
2019-12-17,236.8300,236.8300,234.1200,235.3600,752628
2019-12-16,237.2100,239.5200,235.8200,236.1000,662714
2019-12-13,233.5300,236.8563,231.8400,235.0800,518650
2019-12-12,234.0000,236.2900,232.7500,234.3300,1179154
2019-12-11,231.7500,233.5950,231.1250,233.2500,781678
2019-12-10,230.4800,231.6400,229.5300,231.0500,449803
2019-12-09,232.1500,232.7200,230.3900,230.5500,689711
2019-12-06,231.4800,232.6900,229.6950,231.7700,724656
2019-12-05,226.9300,229.5300,225.2050,229.3600,556028
2019-12-04,225.0000,226.9000,224.2600,226.8000,516660
2019-12-03,222.4500,224.9800,222.4500,224.8000,465238
2019-12-02,226.5000,227.9500,224.1700,225.2000,556538
2019-11-29,225.8900,228.2100,225.4400,226.6700,387595
2019-11-27,227.0400,227.3900,224.0100,226.5300,844503
2019-11-26,225.7500,227.8200,225.6400,226.7300,753667
2019-11-25,223.7300,226.2900,223.2700,225.7400,793367
2019-11-22,224.9700,226.0000,221.4300,222.9500,619246
2019-11-21,223.6600,225.2000,222.1100,224.1400,698459
2019-11-20,223.9500,226.7400,222.1700,223.9100,745066
2019-11-19,221.8100,225.4000,221.3700,223.8700,689592
2019-11-18,220.3000,221.5100,219.9154,221.3800,577771
2019-11-15,220.0000,220.6600,218.6000,220.1500,524553
2019-11-14,218.6400,219.1450,215.9100,218.8600,417482
2019-11-13,216.6600,219.9100,216.4300,218.7400,520248
2019-11-12,217.9300,219.7600,217.1050,217.4600,469127
2019-11-11,216.2600,219.1500,215.4300,218.0500,439988
2019-11-08,217.8500,219.2500,216.6100,218.1300,467000
2019-11-07,217.0600,219.0250,215.4100,218.2700,609138
2019-11-06,213.0000,216.5500,212.2700,215.8000,882229
2019-11-05,218.5000,218.6300,211.5000,213.0600,964665
